year,strategy,blend_weight,accuracy,n_games,correct,model_only_acc
2024,C: Hybrid 35+15,0.0,0.6201923076923077,208,129,0.6634615384615384
2024,C: Hybrid 35+15,0.1,0.6298076923076923,208,131,0.6634615384615384
2024,C: Hybrid 35+15,0.2,0.6394230769230769,208,133,0.6634615384615384
2024,C: Hybrid 35+15,0.28,0.6442307692307693,208,134,0.6634615384615384
2024,C: Hybrid 35+15,0.35,0.6394230769230769,208,133,0.6634615384615384
2024,C: Hybrid 35+15,0.45,0.6394230769230769,208,133,0.6634615384615384
2024,C: Hybrid 35+15,0.55,0.6442307692307693,208,134,0.6634615384615384
2024,C: Hybrid 35+15,0.65,0.6586538461538461,208,137,0.6634615384615384
2024,D: +TeamStats top60,0.0,0.6201923076923077,208,129,0.6538461538461539
2024,D: +TeamStats top60,0.1,0.6298076923076923,208,131,0.6538461538461539
2024,D: +TeamStats top60,0.2,0.6346153846153846,208,132,0.6538461538461539
2024,D: +TeamStats top60,0.28,0.6394230769230769,208,133,0.6538461538461539
2024,D: +TeamStats top60,0.35,0.6346153846153846,208,132,0.6538461538461539
2024,D: +TeamStats top60,0.45,0.6346153846153846,208,132,0.6538461538461539
2024,D: +TeamStats top60,0.55,0.6346153846153846,208,132,0.6538461538461539
2024,D: +TeamStats top60,0.65,0.6346153846153846,208,132,0.6538461538461539
2024,E: TeamStats only,0.0,0.6201923076923077,208,129,0.5673076923076923
2024,E: TeamStats only,0.1,0.6153846153846154,208,128,0.5673076923076923
2024,E: TeamStats only,0.2,0.625,208,130,0.5673076923076923
2024,E: TeamStats only,0.28,0.6298076923076923,208,131,0.5673076923076923
2024,E: TeamStats only,0.35,0.6346153846153846,208,132,0.5673076923076923
2024,E: TeamStats only,0.45,0.6394230769230769,208,133,0.5673076923076923
2024,E: TeamStats only,0.55,0.6298076923076923,208,131,0.5673076923076923
2024,E: TeamStats only,0.65,0.6490384615384616,208,135,0.5673076923076923
2025,A: Baseline top50,0.0,0.6634615384615384,208,138,0.6346153846153846
2025,A: Baseline top50,0.1,0.6586538461538461,208,137,0.6346153846153846
2025,A: Baseline top50,0.2,0.6586538461538461,208,137,0.6346153846153846
2025,A: Baseline top50,0.28,0.6682692307692307,208,139,0.6346153846153846
2025,A: Baseline top50,0.35,0.6682692307692307,208,139,0.6346153846153846
2025,A: Baseline top50,0.45,0.6634615384615384,208,138,0.6346153846153846
2025,A: Baseline top50,0.55,0.6586538461538461,208,137,0.6346153846153846
2025,A: Baseline top50,0.65,0.6586538461538461,208,137,0.6346153846153846
2025,B: +TeamStats top50,0.0,0.6634615384615384,208,138,0.6394230769230769
2025,B: +TeamStats top50,0.1,0.6586538461538461,208,137,0.6394230769230769
2025,B: +TeamStats top50,0.2,0.6586538461538461,208,137,0.6394230769230769
2025,B: +TeamStats top50,0.28,0.6586538461538461,208,137,0.6394230769230769
2025,B: +TeamStats top50,0.35,0.6682692307692307,208,139,0.6394230769230769
2025,B: +TeamStats top50,0.45,0.6682692307692307,208,139,0.6394230769230769
2025,B: +TeamStats top50,0.55,0.6586538461538461,208,137,0.6394230769230769
2025,B: +TeamStats top50,0.65,0.6538461538461539,208,136,0.6394230769230769
